id_personal;id_unidad;nombre;rut;sexo;edad;clasificacion
373;14;Yisroel Wheatley;22566169-3;mujer;59;vendedor
374;41;Tyler-Jay Forster;76563311-7;mujer;35;ti
386;10;Jacques Carter;75910499-4;mujer;41;administracion
387;30;Georga Salinas;85055980-5;mujer;51;ti
401;42;Sheila Gilmore;57931953-4;hombre;51;asistente de aseo
405;45;Laith Zimmerman;38235761-2;mujer;22;asistente de aseo
406;2;Teodor Lim;65731455-2;hombre;31;vendedor
408;48;Maiya Villa;20789297-1;mujer;48;vendedor
413;30;Erika Greene;25497638-5;mujer;49;ti
417;18;Madeleine Stokes;82993651-8;mujer;32;vendedor
418;1;Vikki Partridge;44380500-1;mujer;19;administracion
419;54;Arianna Vazquez;50319391-4;mujer;57;asistente de aseo
420;28;Campbell Shepherd;81602032-8;hombre;51;vendedor
426;47;Sienna Weaver;37839960-2;hombre;49;ti
427;1;Evelyn Duran;31845287-3;hombre;51;vendedor
428;30;Ava-Mai Spooner;15451762-6;mujer;40;vendedor
431;34;Anish Coleman;46188032-0;hombre;23;asistente de aseo
433;40;Brandon Rodrigues;46033111-0;mujer;55;vendedor
434;45;Allison Costa;83029887-8;mujer;38;administracion
438;47;Aanya Foster;95759065-9;hombre;31;ti
439;49;Mylah Long;25327705-k;mujer;50;administracion
440;47;Kayden Delarosa;82693313-5;hombre;34;asistente de aseo
443;41;Jake Hatfield;64501886-9;hombre;19;ti
447;24;Nathaniel Mcgill;54593722-0;hombre;54;asistente de aseo
449;11;Jiya Irvine;16689945-1;hombre;20;vendedor
450;33;Dylan Nicholls;92951996-5;hombre;41;vendedor
451;25;Sameera Robson;71180222-3;hombre;30;asistente de aseo
453;56;Artur Stokes;54245196-3;mujer;30;asistente de aseo
454;30;Patrik Dodson;52650167-5;mujer;45;asistente de aseo
457;46;Luther Simon;67314332-6;mujer;21;administracion
461;44;Kurt Sutton;28370900-0;hombre;52;vendedor
468;38;Sebastien Petersen;89213188-0;mujer;53;ti
469;30;Shane Kelly;34823992-9;mujer;43;asistente de aseo
471;35;Anees Morse;66284985-5;mujer;36;administracion
473;50;Shahzaib Espinoza;34975310-3;mujer;50;ti
480;53;Sabiha O'Quinn;93129167-k;mujer;60;vendedor
481;10;Tayyibah Mckinney;18067050-5;mujer;50;asistente de aseo
482;24;Jibril Hall;89118524-3;mujer;28;vendedor
489;2;Natalya Thorpe;22783728-4;hombre;26;ti
491;1;Zakariyah Williamson;60038263-2;mujer;24;asistente de aseo
492;26;Nayla Bates;72611524-9;mujer;55;ti
494;24;Pia Short;14309109-0;hombre;52;ti
498;16;Montgomery Cornish;13370165-6;hombre;19;asistente de aseo
499;51;Kingsley Goddard;73418283-4;mujer;19;asistente de aseo
500;41;Chance Barlow;59060940-4;hombre;25;asistente de aseo
501;52;Chelsy Whitley;67170407-k;mujer;27;asistente de aseo
504;18;Bjorn Salazar;97754557-9;mujer;35;asistente de aseo
510;49;Derrick Fritz;34996262-4;mujer;52;asistente de aseo
522;51;Suranne Byrd;36600416-5;hombre;46;asistente de aseo
527;25;April Peters;81168161-k;hombre;50;asistente de aseo
528;1;Akash Kendall;19533896-5;hombre;35;vendedor
529;13;Lily-Anne Barnes;25309713-2;hombre;54;asistente de aseo
532;47;Zachary Marks;64268937-1;mujer;19;administracion
533;28;Ffion Allison;70202613-k;hombre;38;vendedor
538;14;Brandan Mcdougall;48630167-8;mujer;42;vendedor
541;29;Maleeha Rice;65809271-5;mujer;60;vendedor
544;22;Asma Brook;35806868-5;mujer;32;administracion
545;54;Danyl James;96332059-0;mujer;31;administracion
547;31;Abdi Mccoy;97166191-7;hombre;24;administracion
549;18;Willis Herbert;97985609-1;mujer;18;ti
558;37;Shanaya Hewitt;45644100-9;mujer;50;asistente de aseo
565;47;Trey Saunders;23494123-2;hombre;57;ti
569;14;Mason Ritter;65175008-3;hombre;24;administracion
571;14;Jana Byrd;22825105-4;hombre;37;vendedor
572;2;Orlaith Jones;36918308-7;hombre;30;administracion
580;40;Amari Stubbs;88726486-4;hombre;24;asistente de aseo
583;53;Margaux Cleveland;44973013-5;hombre;56;administracion
585;44;Mariah Wyatt;58038177-4;hombre;27;vendedor
587;26;Toyah Wolfe;83605517-9;hombre;24;asistente de aseo
588;54;Lily-Mae O'Quinn;68147125-1;hombre;58;vendedor
589;1;Arissa Webb;54363208-2;hombre;49;vendedor
594;40;Saqib Mill;11784418-8;hombre;57;ti
597;2;Keaton Mccall;54480341-7;hombre;50;ti
604;42;Yousef Rutledge;74748755-3;mujer;34;asistente de aseo
607;8;Adele Douglas;42814101-6;hombre;53;administracion
613;8;Shelbie Moreno;12885071-6;hombre;46;vendedor
622;44;Aryaan Fox;88151779-5;hombre;52;vendedor
623;11;Ashlyn Rossi;81783289-k;mujer;32;asistente de aseo
626;25;Tye Corrigan;28273728-0;hombre;47;vendedor
627;54;Maksim Mcmahon;97355372-0;hombre;27;vendedor
637;56;Kristen Gallegos;52778909-5;hombre;59;administracion
638;18;Roger Woodcock;27161682-1;mujer;38;vendedor
647;17;Jadon Slater;99347364-2;hombre;20;asistente de aseo
648;31;Maude Arnold;59129614-0;hombre;42;vendedor
649;32;Eleni Hansen;34349789-k;hombre;33;vendedor
650;45;Asher Valentine;20774234-1;mujer;25;asistente de aseo
651;13;Tevin Wright;89671041-9;mujer;24;ti
656;52;Calista Cummings;17341224-k;mujer;53;administracion
659;40;Ella-May Hayes;48333719-1;mujer;21;vendedor
662;43;Leigha Chavez;58812264-6;hombre;36;administracion
666;28;Fenella Schaefer;26240285-1;hombre;33;asistente de aseo
668;9;Marlon Lott;29381516-k;hombre;39;asistente de aseo
675;35;Elissa Schmidt;60926655-4;mujer;53;ti
684;5;Dulcie Shelton;88413708-k;hombre;43;vendedor
685;22;Akeem Hensley;84891139-9;mujer;33;vendedor
688;28;Edna Harper;14156767-5;mujer;29;administracion
696;11;Chandni Stanton;11904025-6;mujer;50;ti
713;23;Che Partridge;16943787-4;mujer;39;vendedor
714;32;Miyah Rhodes;59537115-5;mujer;49;administracion
719;20;Vickie Clifford;10927357-0;mujer;19;asistente de aseo
721;34;Payton Arroyo;63216586-2;hombre;24;vendedor
724;19;Jax Hester;54676049-9;hombre;24;vendedor
727;51;Tayyib Davila;47121914-2;mujer;47;asistente de aseo
729;10;Layton Hodge;73026642-1;mujer;20;ti
730;16;Francis Kerr;34414978-k;hombre;40;asistente de aseo
732;20;Akeem Odonnell;21016824-9;hombre;20;asistente de aseo
735;38;Danyal Steele;59749734-2;mujer;49;vendedor
739;19;Roosevelt Charlton;70433997-6;mujer;33;ti
740;17;Spencer Tran;48553208-0;mujer;24;vendedor
743;56;Princess Guest;73454838-3;mujer;56;ti
746;19;Kirandeep Riggs;73842540-5;mujer;25;ti
747;1;Asmaa Allman;58648727-2;hombre;44;vendedor
748;51;Kenzo Beech;95656123-k;mujer;28;administracion
750;19;Jorgie Rowland;81428035-7;mujer;44;ti
751;9;Harvie Bonilla;46805723-9;mujer;35;asistente de aseo
752;51;Samir Daugherty;96371883-7;mujer;33;ti
754;25;Hamaad Barajas;17611254-9;hombre;50;ti
755;5;Mandeep Vazquez;56197957-k;hombre;20;vendedor
764;16;Billie Kaur;54546935-9;mujer;38;administracion
765;29;Mimi Harris;48269008-4;hombre;49;administracion
766;51;Kierran Stanton;50942616-3;hombre;27;ti
767;49;Isabell Goodwin;84327091-3;hombre;40;asistente de aseo
769;23;Skye Gray;48007583-8;mujer;49;administracion
770;46;Lemar Cullen;14585428-8;hombre;28;ti
771;27;Maariya Enriquez;25450277-4;hombre;30;ti
774;26;Mea Dorsey;95199785-4;hombre;37;administracion
775;27;Ammaar Carty;13947632-8;hombre;48;asistente de aseo
781;11;Faheem Bains;16697747-9;hombre;42;administracion
782;21;Kaeden Knapp;37285914-8;mujer;53;asistente de aseo
784;36;Ilayda Whitehouse;11118739-8;mujer;29;administracion
786;13;Jonny Newton;33461512-k;mujer;50;administracion
788;48;Frances Corrigan;12920124-k;mujer;25;vendedor
789;31;Yunus Galloway;15955355-8;mujer;20;asistente de aseo
795;10;Maia Glover;52792841-9;mujer;22;ti
796;7;Aryan Hastings;82533150-6;hombre;25;administracion
806;17;Amba Crane;77484278-0;mujer;36;vendedor
807;41;Isaac Fleming;52258791-5;mujer;20;asistente de aseo
808;3;Haider Hines;24927693-6;hombre;19;ti
817;19;Brandy Ponce;25696685-9;mujer;41;administracion
819;51;Musa Myers;18984900-1;hombre;27;vendedor
821;50;Ashlyn Finch;97163657-2;mujer;31;asistente de aseo
822;44;Mikayla Hume;42714709-6;mujer;30;vendedor
824;17;Rahul Finley;50814284-6;hombre;36;asistente de aseo
